,Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No),DOI,Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Matrigel_Used?,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
25,Jia et al. 2014,10.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,70.0,N,N
26,Jia et al. 2014,10.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,90.0,Y,Y
27,Jia et al. 2014,10.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
28,Jia et al. 2014,10.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
29,Jia et al. 2014,15.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,20.0,N,N
30,Jia et al. 2014,15.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
31,Jia et al. 2014,15.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
32,Jia et al. 2014,20.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,20.0,N,N
33,Jia et al. 2014,20.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,0.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,90.0,Y,Y
34,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,34.47,,,,0,150.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,80.0,Y,Y
35,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,68.95,,,,0,150.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,75.0,N,N
36,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,137.9,,,,0,150.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,52.0,N,N
37,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,275.79,,,,0,150.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,47.0,N,N
38,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,34.47,,,,0,250.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,82.0,Y,Y
39,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,68.95,,,,0,250.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,83.0,Y,Y
40,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,137.9,,,,0,250.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,58.0,N,N
41,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,275.79,,,,0,250.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,51.0,N,N
42,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,34.47,,,,0,400.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,83.0,Y,Y
43,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,68.95,,,,0,400.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,84.0,Y,Y
44,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,137.9,,,,0,400.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,62.0,N,N
45,Nair et al. 2009,1.5,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,275.79,,,,0,400.0,,1000000.0,22.0,22.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1002/biot.200900004,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,58.0,N,N
46,Li et al. 2017,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,360.43,0.0,0,0,600.0,0,215.0,7.6,,,0,250.0,,3000000.0,22.0,22.0,0.0,,,N,N,Y,Y,N,N,N,S,,10.1021/acsami.7b04216,0.0,0,0,0.0,0,0.0,0,0.0,370.2,,N,Not_Primary,94.0,Y,Y
47,Li et al. 2017,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,360.43,0.0,0,0,600.0,0,215.0,7.6,,,0,250.0,,3000000.0,22.0,22.0,3.0,,,N,N,Y,Y,N,N,N,S,,10.1021/acsami.7b04216,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,97.0,Y,Y
48,Li et al. 2017,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,360.43,0.0,0,0,600.0,0,215.0,7.6,,,0,250.0,,3000000.0,22.0,22.0,5.0,,,N,N,Y,Y,N,N,N,S,,10.1021/acsami.7b04216,0.0,0,0,0.0,0,0.0,0,0.0,336.92,,N,Not_Primary,95.0,Y,Y
49,Tabriz et al. 2015,2.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,0.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,95.0,Y,Y
50,Tabriz et al. 2015,3.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,0.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,94.0,Y,Y
51,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,0.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,92.0,Y,Y
52,Tabriz et al. 2015,5.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,0.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,83.0,Y,Y
53,Tabriz et al. 2015,6.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,0.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,61.0,N,N
54,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,60,0,720.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,0.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,92.9,Y,Y
55,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,60,0,720.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,2.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,96.0,Y,Y
56,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,60,0,720.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,4.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,94.0,Y,Y
57,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,60,0,720.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,7.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,87.0,Y,Y
58,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,60,0,720.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,9.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,89.0,Y,Y
59,Tabriz et al. 2015,4.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,60,0,720.0,0,,,0.45,6.0,0,330.0,,5250000.0,22.0,,11.0,,,Y,N,Y,N,N,N,N,S,,10.1088/1758-5090/7/4/045012,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Not_Primary,88.0,Y,Y
60,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,15.0,,,,0,413.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,53.0,N,N
61,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,15.0,,,,0,413.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,86.0,Y,Y
62,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,15.0,,,,0,413.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,92.0,Y,Y
63,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,6.0,,,,0,413.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,53.0,N,N
64,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,6.0,,,,0,413.0,,6000000.0,,,14.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,83.0,Y,Y
65,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,6.0,,,,0,413.0,,6000000.0,,,28.0,,,Y,Y,N,N,N,N,N,C,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,92.0,Y,Y
66,Müller et al .2017,1.0,0.0,0.0,0.0,0,0,,0,0.0,,0,1.36,,,100.0,0.0,0,0,720.0,0,21.0,,,,0,337.0,,6000000.0,,,1.0,,,Y,Y,N,N,N,N,N,S,,10.1007/s10439-016-1704-5,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,51.0,N,N
